timestamp,device,ecg_value
2026-08-21T17:34:17.189702,patient_01,2416
2026-08-21T17:34:17.189702,patient_01,2336
2026-08-21T17:34:17.189702,patient_01,1296
2026-08-21T17:34:17.189702,patient_01,608
2026-08-21T17:34:17.189702,patient_01,1408
2026-08-21T17:34:17.189702,patient_01,2401
2026-08-21T17:34:17.189702,patient_01,2416
2026-08-21T17:34:17.189702,patient_01,1393
2026-08-21T17:34:17.189702,patient_01,497
2026-08-21T17:34:17.189702,patient_01,1296
2026-08-21T17:34:17.189702,patient_01,2384
2026-08-21T17:34:17.189702,patient_01,2432
2026-08-21T17:34:17.189702,patient_01,1280
2026-08-21T17:34:17.189702,patient_01,720
2026-08-21T17:34:17.189702,patient_01,1376
2026-08-21T17:34:17.189702,patient_01,2432
2026-08-21T17:34:17.189702,patient_01,2449
2026-08-21T17:34:17.189702,patient_01,1312
2026-08-21T17:34:17.189702,patient_01,657
2026-08-21T17:34:17.189702,patient_01,1361
2026-08-21T17:34:17.189702,patient_01,2433
2026-08-21T17:34:17.189702,patient_01,2448
2026-08-21T17:34:17.189702,patient_01,1440
2026-08-21T17:34:17.189702,patient_01,736
2026-08-21T17:34:17.189702,patient_01,1393
2026-08-21T17:34:17.293158,patient_01,2417
2026-08-21T17:34:17.293158,patient_01,2529
2026-08-21T17:34:17.293158,patient_01,1281
2026-08-21T17:34:17.293158,patient_01,592
2026-08-21T17:34:17.293158,patient_01,1472
2026-08-21T17:34:17.293158,patient_01,2513
2026-08-21T17:34:17.293158,patient_01,2384
2026-08-21T17:34:17.293158,patient_01,1456
2026-08-21T17:34:17.293158,patient_01,832
2026-08-21T17:34:17.293158,patient_01,1377
2026-08-21T17:34:17.293158,patient_01,2385
2026-08-21T17:34:17.293158,patient_01,2433
2026-08-21T17:34:17.293158,patient_01,1489
2026-08-21T17:34:17.293158,patient_01,721
2026-08-21T17:34:17.293158,patient_01,1377
2026-08-21T17:34:17.293158,patient_01,2385
2026-08-21T17:34:17.293158,patient_01,2448
2026-08-21T17:34:17.293158,patient_01,1441
2026-08-21T17:34:17.293158,patient_01,800
2026-08-21T17:34:17.293158,patient_01,1504
2026-08-21T17:34:17.293158,patient_01,2496
2026-08-21T17:34:17.293158,patient_01,1632
2026-08-21T17:34:17.293158,patient_01,1425
2026-08-21T17:34:17.293158,patient_01,993
2026-08-21T17:34:17.293158,patient_01,1569
2026-08-21T17:34:17.382977,patient_01,2593
2026-08-21T17:34:17.382977,patient_01,2785
2026-08-21T17:34:17.382977,patient_01,1808
2026-08-21T17:34:17.382977,patient_01,1137
2026-08-21T17:34:17.382977,patient_01,1664
2026-08-21T17:34:17.382977,patient_01,2624
2026-08-21T17:34:17.382977,patient_01,2688
2026-08-21T17:34:17.382977,patient_01,1712
2026-08-21T17:34:17.382977,patient_01,1057
2026-08-21T17:34:17.382977,patient_01,1632
2026-08-21T17:34:17.382977,patient_01,2544
2026-08-21T17:34:17.382977,patient_01,2592
2026-08-21T17:34:17.382977,patient_01,1632
2026-08-21T17:34:17.382977,patient_01,897
2026-08-21T17:34:17.382977,patient_01,1376
2026-08-21T17:34:17.382977,patient_01,2336
2026-08-21T17:34:17.382977,patient_01,2433
2026-08-21T17:34:17.382977,patient_01,1409
2026-08-21T17:34:17.382977,patient_01,752
2026-08-21T17:34:17.382977,patient_01,1393
2026-08-21T17:34:17.382977,patient_01,2368
2026-08-21T17:34:17.382977,patient_01,2401
2026-08-21T17:34:17.382977,patient_01,1408
2026-08-21T17:34:17.382977,patient_01,752
2026-08-21T17:34:17.382977,patient_01,1248
2026-08-21T17:34:17.489006,patient_01,2160
2026-08-21T17:34:17.489006,patient_01,2192
2026-08-21T17:34:17.489006,patient_01,1377
2026-08-21T17:34:17.489006,patient_01,481
2026-08-21T17:34:17.489006,patient_01,1265
2026-08-21T17:34:17.489006,patient_01,2320
2026-08-21T17:34:17.489006,patient_01,2561
2026-08-21T17:34:17.489006,patient_01,1953
2026-08-21T17:34:17.489006,patient_01,1744
2026-08-21T17:34:17.489006,patient_01,2944
2026-08-21T17:34:17.489006,patient_01,3377
2026-08-21T17:34:17.489006,patient_01,3360
2026-08-21T17:34:17.489006,patient_01,3361
2026-08-21T17:34:17.489006,patient_01,3360
2026-08-21T17:34:17.489006,patient_01,3376
2026-08-21T17:34:17.489006,patient_01,3360
2026-08-21T17:34:17.489006,patient_01,3361
2026-08-21T17:34:17.489006,patient_01,2769
2026-08-21T17:34:17.489006,patient_01,1968
2026-08-21T17:34:17.489006,patient_01,2320
2026-08-21T17:34:17.489006,patient_01,3089
2026-08-21T17:34:17.489006,patient_01,2896
2026-08-21T17:34:17.489006,patient_01,1777
2026-08-21T17:34:17.489006,patient_01,833
2026-08-21T17:34:17.489006,patient_01,1344
2026-08-21T17:34:17.593653,patient_01,2224
2026-08-21T17:34:17.593653,patient_01,2336
2026-08-21T17:34:17.593653,patient_01,1441
2026-08-21T17:34:17.593653,patient_01,576
2026-08-21T17:34:17.593653,patient_01,1104
2026-08-21T17:34:17.593653,patient_01,2065
2026-08-21T17:34:17.593653,patient_01,2192
2026-08-21T17:34:17.593653,patient_01,1233
2026-08-21T17:34:17.593653,patient_01,528
2026-08-21T17:34:17.593653,patient_01,1057
2026-08-21T17:34:17.593653,patient_01,2128
2026-08-21T17:34:17.593653,patient_01,2257
2026-08-21T17:34:17.593653,patient_01,1392
2026-08-21T17:34:17.593653,patient_01,593
2026-08-21T17:34:17.593653,patient_01,1105
2026-08-21T17:34:17.593653,patient_01,2161
2026-08-21T17:34:17.593653,patient_01,2352
2026-08-21T17:34:17.593653,patient_01,1441
2026-08-21T17:34:17.593653,patient_01,657
2026-08-21T17:34:17.593653,patient_01,1296
2026-08-21T17:34:17.593653,patient_01,2321
2026-08-21T17:34:17.593653,patient_01,2385
2026-08-21T17:34:17.593653,patient_01,1456
2026-08-21T17:34:17.593653,patient_01,737
2026-08-21T17:34:17.593653,patient_01,1297
2026-08-21T17:34:17.683377,patient_01,2400
2026-08-21T17:34:17.683377,patient_01,2672
2026-08-21T17:34:17.683377,patient_01,1744
2026-08-21T17:34:17.683377,patient_01,640
2026-08-21T17:34:17.683377,patient_01,1393
2026-08-21T17:34:17.683377,patient_01,2528
2026-08-21T17:34:17.683377,patient_01,2688
2026-08-21T17:34:17.683377,patient_01,1776
2026-08-21T17:34:17.683377,patient_01,961
2026-08-21T17:34:17.683377,patient_01,1584
2026-08-21T17:34:17.683377,patient_01,2624
2026-08-21T17:34:17.683377,patient_01,2784
2026-08-21T17:34:17.683377,patient_01,1888
2026-08-21T17:34:17.683377,patient_01,1185
2026-08-21T17:34:17.683377,patient_01,1808
2026-08-21T17:34:17.683377,patient_01,2928
2026-08-21T17:34:17.683377,patient_01,3057
2026-08-21T17:34:17.683377,patient_01,2176
2026-08-21T17:34:17.683377,patient_01,1249
2026-08-21T17:34:17.683377,patient_01,1840
2026-08-21T17:34:17.683377,patient_01,2928
2026-08-21T17:34:17.683377,patient_01,3168
2026-08-21T17:34:17.683377,patient_01,2240
2026-08-21T17:34:17.683377,patient_01,1392
2026-08-21T17:34:17.683377,patient_01,1920
2026-08-21T17:34:17.787869,patient_01,2896
2026-08-21T17:34:17.787869,patient_01,2912
2026-08-21T17:34:17.787869,patient_01,2001
2026-08-21T17:34:17.787869,patient_01,1088
2026-08-21T17:34:17.787869,patient_01,1521
2026-08-21T17:34:17.787869,patient_01,2592
2026-08-21T17:34:17.787869,patient_01,2672
2026-08-21T17:34:17.787869,patient_01,1616
2026-08-21T17:34:17.787869,patient_01,561
2026-08-21T17:34:17.787869,patient_01,1089
2026-08-21T17:34:17.787869,patient_01,2160
2026-08-21T17:34:17.787869,patient_01,2385
2026-08-21T17:34:17.787869,patient_01,1312
2026-08-21T17:34:17.787869,patient_01,401
2026-08-21T17:34:17.787869,patient_01,928
2026-08-21T17:34:17.787869,patient_01,1985
2026-08-21T17:34:17.787869,patient_01,2144
2026-08-21T17:34:17.787869,patient_01,1169
2026-08-21T17:34:17.787869,patient_01,336
2026-08-21T17:34:17.787869,patient_01,753
2026-08-21T17:34:17.787869,patient_01,1825
2026-08-21T17:34:17.787869,patient_01,2033
2026-08-21T17:34:17.787869,patient_01,1168
2026-08-21T17:34:17.787869,patient_01,289
2026-08-21T17:34:17.787869,patient_01,785
2026-08-21T17:34:17.893580,patient_01,1841
2026-08-21T17:34:17.893580,patient_01,2129
2026-08-21T17:34:17.893580,patient_01,1233
2026-08-21T17:34:17.893580,patient_01,193
2026-08-21T17:34:17.893580,patient_01,881
2026-08-21T17:34:17.893580,patient_01,1984
2026-08-21T17:34:17.893580,patient_01,2113
2026-08-21T17:34:17.893580,patient_01,1329
2026-08-21T17:34:17.893580,patient_01,497
2026-08-21T17:34:17.893580,patient_01,928
2026-08-21T17:34:17.893580,patient_01,2049
2026-08-21T17:34:17.893580,patient_01,2161
2026-08-21T17:34:17.893580,patient_01,1200
2026-08-21T17:34:17.893580,patient_01,416
2026-08-21T17:34:17.893580,patient_01,977
2026-08-21T17:34:17.893580,patient_01,2064
2026-08-21T17:34:17.893580,patient_01,2241
2026-08-21T17:34:17.893580,patient_01,1249
2026-08-21T17:34:17.893580,patient_01,497
2026-08-21T17:34:17.893580,patient_01,1008
2026-08-21T17:34:17.893580,patient_01,2097
2026-08-21T17:34:17.893580,patient_01,2288
2026-08-21T17:34:17.893580,patient_01,1360
2026-08-21T17:34:17.893580,patient_01,561
2026-08-21T17:34:17.893580,patient_01,1041
2026-08-21T17:34:17.983301,patient_01,2145
2026-08-21T17:34:17.983301,patient_01,2417
2026-08-21T17:34:17.983301,patient_01,1440
2026-08-21T17:34:17.983301,patient_01,657
2026-08-21T17:34:17.983301,patient_01,1168
2026-08-21T17:34:17.983301,patient_01,2289
2026-08-21T17:34:17.983301,patient_01,2464
2026-08-21T17:34:17.983301,patient_01,1424
2026-08-21T17:34:17.983301,patient_01,657
2026-08-21T17:34:17.983301,patient_01,1104
2026-08-21T17:34:17.983301,patient_01,2320
2026-08-21T17:34:17.983301,patient_01,2497
2026-08-21T17:34:17.983301,patient_01,1489
2026-08-21T17:34:17.983301,patient_01,688
2026-08-21T17:34:17.983301,patient_01,1264
2026-08-21T17:34:17.983301,patient_01,2336
2026-08-21T17:34:17.983301,patient_01,2433
2026-08-21T17:34:17.983301,patient_01,1489
2026-08-21T17:34:17.983301,patient_01,673
2026-08-21T17:34:17.983301,patient_01,1281
2026-08-21T17:34:17.983301,patient_01,2368
2026-08-21T17:34:17.983301,patient_01,2592
2026-08-21T17:34:17.983301,patient_01,1600
2026-08-21T17:34:17.983301,patient_01,768
2026-08-21T17:34:17.983301,patient_01,1344
2026-08-21T17:34:18.087753,patient_01,2368
2026-08-21T17:34:18.087753,patient_01,2416
2026-08-21T17:34:18.087753,patient_01,1600
2026-08-21T17:34:18.087753,patient_01,816
2026-08-21T17:34:18.087753,patient_01,1233
2026-08-21T17:34:18.087753,patient_01,2321
2026-08-21T17:34:18.087753,patient_01,2545
2026-08-21T17:34:18.087753,patient_01,1600
2026-08-21T17:34:18.087753,patient_01,816
2026-08-21T17:34:18.087753,patient_01,1440
2026-08-21T17:34:18.087753,patient_01,2481
2026-08-21T17:34:18.087753,patient_01,2561
2026-08-21T17:34:18.087753,patient_01,1536
2026-08-21T17:34:18.087753,patient_01,752
2026-08-21T17:34:18.087753,patient_01,1296
2026-08-21T17:34:18.087753,patient_01,2369
2026-08-21T17:34:18.087753,patient_01,2576
2026-08-21T17:34:18.087753,patient_01,1664
